Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC,RecordType,TickNo,DateRaw,TimeRaw,hDOP,pDOP,hAcc,sAcc,VelN_mps,VelE_mps,VelD_mps,Source
1118324259,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1863873,<nil>,20324,1118324259,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1118410290,<nil>,21.0393961,105.8055250,0.00,<nil>,5,<nil>,true,1864017,<nil>,12,1118410290,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1118410433,<nil>,21.0393961,105.8055250,0.00,<nil>,5,<nil>,true,1864017,<nil>,12,1118410433,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1118410495,<nil>,21.0393961,105.8055250,0.00,<nil>,5,<nil>,true,1864017,<nil>,12,1118410495,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1118419773,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864032,<nil>,20300,1118419773,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1118508050,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864180,<nil>,20313,1118508050,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1118605883,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864343,<nil>,20324,1118605883,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1118703289,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864505,<nil>,20800,1118703289,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1118732736,<nil>,21.0393952,105.8055262,22.28,8,3,<nil>,true,1864554,2025-12-10T09:46:04Z,2096,1118732736,20251210,94604,149.000,239.000,3.000,1284.000,0.040,-0.030,0.260,v3
1118791386,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864652,<nil>,20301,1118791386,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
