Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC,RecordType,TickNo,DateRaw,TimeRaw,hDOP,pDOP,hAcc,sAcc,VelN_mps,VelE_mps,VelD_mps,Source
1126038214,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1876730,<nil>,20300,1126038214,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126059969,<nil>,21.0393934,105.8055258,0.00,<nil>,5,<nil>,true,1876766,<nil>,12,1126059969,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1126245811,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1877076,<nil>,20313,1126245811,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126351568,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1877252,<nil>,20313,1126351568,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126454692,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1877424,<nil>,20312,1126454692,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126510052,<nil>,21.0393934,105.8055258,0.00,<nil>,5,<nil>,true,1877516,<nil>,12,1126510052,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1126510195,<nil>,21.0393934,105.8055258,0.00,<nil>,5,<nil>,true,1877516,<nil>,12,1126510195,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1126540563,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1877567,<nil>,20313,1126540563,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126661699,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1877769,<nil>,20312,1126661699,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126752047,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1877920,<nil>,20313,1126752047,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1126832795,<nil>,21.0393938,105.8055266,22.20,7,2,<nil>,true,1878054,2025-12-10T09:46:05Z,2096,1126832795,20251210,94605,165.000,328.000,3.000,1333.000,-0.010,0.020,0.120,v3
